,File,Gender
0,prep_data/wav_data/A30000A1.npy,f
1,prep_data/wav_data/A30000A2.npy,f
2,prep_data/wav_data/A30000A3.npy,f
3,prep_data/wav_data/A30000A4.npy,f
4,prep_data/wav_data/A30000A5.npy,f
5,prep_data/wav_data/A30000A6.npy,f
6,prep_data/wav_data/A30000B1.npy,f
7,prep_data/wav_data/A30000C1.npy,f
8,prep_data/wav_data/A30000C2.npy,f
9,prep_data/wav_data/A30000C3.npy,f
10,prep_data/wav_data/A30000C4.npy,f
11,prep_data/wav_data/A30000D1.npy,f
12,prep_data/wav_data/A30000D2.npy,f
13,prep_data/wav_data/A30000D3.npy,f
14,prep_data/wav_data/A30000E1.npy,f
15,prep_data/wav_data/A30000I1.npy,f
16,prep_data/wav_data/A30000L1.npy,f
17,prep_data/wav_data/A30000L2.npy,f
18,prep_data/wav_data/A30000L3.npy,f
19,prep_data/wav_data/A30000M1.npy,f
20,prep_data/wav_data/A30000M2.npy,f
21,prep_data/wav_data/A30000N1.npy,f
22,prep_data/wav_data/A30000O1.npy,f
23,prep_data/wav_data/A30000O2.npy,f
24,prep_data/wav_data/A30000O3.npy,f
25,prep_data/wav_data/A30000O5.npy,f
26,prep_data/wav_data/A30000O7.npy,f
27,prep_data/wav_data/A30000O8.npy,f
28,prep_data/wav_data/A30000Q1.npy,f
29,prep_data/wav_data/A30000Q2.npy,f
30,prep_data/wav_data/A30000S1.npy,f
31,prep_data/wav_data/A30000S2.npy,f
32,prep_data/wav_data/A30000S3.npy,f
33,prep_data/wav_data/A30000S4.npy,f
34,prep_data/wav_data/A30000S5.npy,f
35,prep_data/wav_data/A30000S6.npy,f
36,prep_data/wav_data/A30000S7.npy,f
37,prep_data/wav_data/A30000S8.npy,f
38,prep_data/wav_data/A30000S9.npy,f
39,prep_data/wav_data/A30000T1.npy,f
40,prep_data/wav_data/A30000T2.npy,f
41,prep_data/wav_data/A30000W1.npy,f
42,prep_data/wav_data/A30000W2.npy,f
43,prep_data/wav_data/A30000W3.npy,f
44,prep_data/wav_data/A30000W4.npy,f
45,prep_data/wav_data/A30000X1.npy,f
46,prep_data/wav_data/A30000X2.npy,f
47,prep_data/wav_data/A30000X3.npy,f
48,prep_data/wav_data/A30000X4.npy,f
49,prep_data/wav_data/A30000X5.npy,f
50,prep_data/wav_data/A30000X6.npy,f
51,prep_data/wav_data/A30002A1.npy,f
52,prep_data/wav_data/A30002A2.npy,f
53,prep_data/wav_data/A30002A3.npy,f
54,prep_data/wav_data/A30002A4.npy,f
55,prep_data/wav_data/A30002A5.npy,f
56,prep_data/wav_data/A30002A6.npy,f
57,prep_data/wav_data/A30002B1.npy,f
58,prep_data/wav_data/A30002C1.npy,f
59,prep_data/wav_data/A30002C2.npy,f
60,prep_data/wav_data/A30002C3.npy,f
61,prep_data/wav_data/A30002C4.npy,f
62,prep_data/wav_data/A30002D1.npy,f
63,prep_data/wav_data/A30002D2.npy,f
64,prep_data/wav_data/A30002D3.npy,f
65,prep_data/wav_data/A30002E1.npy,f
66,prep_data/wav_data/A30002I1.npy,f
67,prep_data/wav_data/A30002L1.npy,f
68,prep_data/wav_data/A30002L2.npy,f
69,prep_data/wav_data/A30002L3.npy,f
70,prep_data/wav_data/A30002M1.npy,f
71,prep_data/wav_data/A30002M2.npy,f
72,prep_data/wav_data/A30002N1.npy,f
73,prep_data/wav_data/A30002O1.npy,f
74,prep_data/wav_data/A30002O2.npy,f
75,prep_data/wav_data/A30002O3.npy,f
76,prep_data/wav_data/A30002O5.npy,f
77,prep_data/wav_data/A30002O7.npy,f
78,prep_data/wav_data/A30002O8.npy,f
79,prep_data/wav_data/A30002Q1.npy,f
80,prep_data/wav_data/A30002Q2.npy,f
81,prep_data/wav_data/A30002S1.npy,f
82,prep_data/wav_data/A30002S2.npy,f
83,prep_data/wav_data/A30002S3.npy,f
84,prep_data/wav_data/A30002S4.npy,f
85,prep_data/wav_data/A30002S5.npy,f
86,prep_data/wav_data/A30002S6.npy,f
87,prep_data/wav_data/A30002S7.npy,f
88,prep_data/wav_data/A30002S8.npy,f
89,prep_data/wav_data/A30002S9.npy,f
90,prep_data/wav_data/A30002T1.npy,f
91,prep_data/wav_data/A30002T2.npy,f
92,prep_data/wav_data/A30002W1.npy,f
93,prep_data/wav_data/A30002W2.npy,f
94,prep_data/wav_data/A30002W3.npy,f
95,prep_data/wav_data/A30002W4.npy,f
96,prep_data/wav_data/A30002X1.npy,f
97,prep_data/wav_data/A30002X2.npy,f
98,prep_data/wav_data/A30002X3.npy,f
99,prep_data/wav_data/A30002X4.npy,f
100,prep_data/wav_data/A30002X5.npy,f
101,prep_data/wav_data/A30002X6.npy,f
102,prep_data/wav_data/A30001A1.npy,m
103,prep_data/wav_data/A30001A2.npy,m
104,prep_data/wav_data/A30001A3.npy,m
105,prep_data/wav_data/A30001A4.npy,m
106,prep_data/wav_data/A30001A5.npy,m
107,prep_data/wav_data/A30001A6.npy,m
108,prep_data/wav_data/A30001B1.npy,m
109,prep_data/wav_data/A30001C1.npy,m
110,prep_data/wav_data/A30001C2.npy,m
111,prep_data/wav_data/A30001C3.npy,m
112,prep_data/wav_data/A30001C4.npy,m
113,prep_data/wav_data/A30001D1.npy,m
114,prep_data/wav_data/A30001D2.npy,m
115,prep_data/wav_data/A30001D3.npy,m
116,prep_data/wav_data/A30001E1.npy,m
117,prep_data/wav_data/A30001I1.npy,m
118,prep_data/wav_data/A30001L1.npy,m
119,prep_data/wav_data/A30001L2.npy,m
120,prep_data/wav_data/A30001L3.npy,m
121,prep_data/wav_data/A30001M1.npy,m
122,prep_data/wav_data/A30001M2.npy,m
123,prep_data/wav_data/A30001N1.npy,m
124,prep_data/wav_data/A30001O1.npy,m
125,prep_data/wav_data/A30001O2.npy,m
126,prep_data/wav_data/A30001O3.npy,m
127,prep_data/wav_data/A30001O5.npy,m
128,prep_data/wav_data/A30001O7.npy,m
129,prep_data/wav_data/A30001O8.npy,m
130,prep_data/wav_data/A30001Q1.npy,m
131,prep_data/wav_data/A30001Q2.npy,m
132,prep_data/wav_data/A30001S1.npy,m
133,prep_data/wav_data/A30001S2.npy,m
134,prep_data/wav_data/A30001S3.npy,m
135,prep_data/wav_data/A30001S4.npy,m
136,prep_data/wav_data/A30001S5.npy,m
137,prep_data/wav_data/A30001S6.npy,m
138,prep_data/wav_data/A30001S7.npy,m
139,prep_data/wav_data/A30001S8.npy,m
140,prep_data/wav_data/A30001S9.npy,m
141,prep_data/wav_data/A30001T1.npy,m
142,prep_data/wav_data/A30001T2.npy,m
143,prep_data/wav_data/A30001W1.npy,m
144,prep_data/wav_data/A30001W2.npy,m
145,prep_data/wav_data/A30001W3.npy,m
146,prep_data/wav_data/A30001W4.npy,m
147,prep_data/wav_data/A30001X1.npy,m
148,prep_data/wav_data/A30001X2.npy,m
149,prep_data/wav_data/A30001X3.npy,m
150,prep_data/wav_data/A30001X4.npy,m
151,prep_data/wav_data/A30001X5.npy,m
152,prep_data/wav_data/A30001X6.npy,m
153,prep_data/wav_data/A30003A1.npy,m
154,prep_data/wav_data/A30003A2.npy,m
155,prep_data/wav_data/A30003A3.npy,m
156,prep_data/wav_data/A30003A4.npy,m
157,prep_data/wav_data/A30003A5.npy,m
158,prep_data/wav_data/A30003A6.npy,m
159,prep_data/wav_data/A30003B1.npy,m
160,prep_data/wav_data/A30003C1.npy,m
161,prep_data/wav_data/A30003C2.npy,m
162,prep_data/wav_data/A30003C3.npy,m
163,prep_data/wav_data/A30003C4.npy,m
164,prep_data/wav_data/A30003D1.npy,m
165,prep_data/wav_data/A30003D2.npy,m
166,prep_data/wav_data/A30003D3.npy,m
167,prep_data/wav_data/A30003E1.npy,m
168,prep_data/wav_data/A30003I1.npy,m
169,prep_data/wav_data/A30003L1.npy,m
170,prep_data/wav_data/A30003L2.npy,m
171,prep_data/wav_data/A30003L3.npy,m
172,prep_data/wav_data/A30003M1.npy,m
173,prep_data/wav_data/A30003M2.npy,m
174,prep_data/wav_data/A30003N1.npy,m
175,prep_data/wav_data/A30003O1.npy,m
176,prep_data/wav_data/A30003O2.npy,m
177,prep_data/wav_data/A30003O3.npy,m
178,prep_data/wav_data/A30003O5.npy,m
179,prep_data/wav_data/A30003O7.npy,m
180,prep_data/wav_data/A30003O8.npy,m
181,prep_data/wav_data/A30003Q1.npy,m
182,prep_data/wav_data/A30003Q2.npy,m
183,prep_data/wav_data/A30003S1.npy,m
184,prep_data/wav_data/A30003S2.npy,m
185,prep_data/wav_data/A30003S3.npy,m
186,prep_data/wav_data/A30003S4.npy,m
187,prep_data/wav_data/A30003S5.npy,m
188,prep_data/wav_data/A30003S6.npy,m
189,prep_data/wav_data/A30003S7.npy,m
190,prep_data/wav_data/A30003S8.npy,m
191,prep_data/wav_data/A30003S9.npy,m
192,prep_data/wav_data/A30003T1.npy,m
193,prep_data/wav_data/A30003T2.npy,m
194,prep_data/wav_data/A30003W1.npy,m
195,prep_data/wav_data/A30003W2.npy,m
196,prep_data/wav_data/A30003W3.npy,m
197,prep_data/wav_data/A30003W4.npy,m
198,prep_data/wav_data/A30003X1.npy,m
199,prep_data/wav_data/A30003X2.npy,m
200,prep_data/wav_data/A30003X3.npy,m
201,prep_data/wav_data/A30003X4.npy,m
202,prep_data/wav_data/A30003X5.npy,m
203,prep_data/wav_data/A30003X6.npy,m
